station_id,station_name,available_mechanical_bikes,available_electric_bikes,available_empty_docks,latitude,longitude,date
213688169,Benjamin Godard - Victor Hugo,3,1,31,48.865983,2.275725,2021-05-24 13:33:08
99950133,André Mazet - Saint-André des Arts,45,1,9,48.85375581057431,2.3390958085656166,2021-05-24 13:34:23
516709288,Charonne - Robert et Sonia Delauney,1,3,16,48.85590755596891,2.3925706744194035,2021-05-24 13:31:30
36255,Toudouze - Clauzel,2,0,18,48.87929591733507,2.3373600840568547,2021-05-24 13:30:02
37815204,Mairie du 12ème,16,0,14,48.84085531176338,2.3875549435615544,2021-05-24 13:34:11
100769544,Harpe - Saint-Germain,20,1,25,48.85151881501689,2.343670316040516,2021-05-24 13:34:56
85002689,Jourdan - Stade Charléty,1,2,56,48.81942833336948,2.343335375189781,2021-05-24 13:31:14
54000559,Jouffroy d'Abbans - Wagram,1,5,33,48.881973298351625,2.301132157444954,2021-05-24 13:31:50
85043758,Guersant - Gouvion-Saint-Cyr,0,4,20,48.88287775178599,2.287667370814871,2021-05-24 13:30:26
123095125,Alibert - Jemmapes,8,5,43,48.8710440519842,2.366104461987773,2021-05-24 13:36:12
251039991,Cassini - Denfert-Rochereau,3,0,22,48.83752583906732,2.336035408079624,2021-05-24 13:30:35
37874517,Saint-Sulpice,3,4,14,48.85165383178419,2.3308077827095985,2021-05-24 13:27:46
66491398,Le Brun - Gobelins,2,4,42,48.835092787823875,2.353468135133752,2021-05-24 13:35:54
210403080,Lacépède - Monge,3,0,20,48.84389286531899,2.3519663885235786,2021-05-24 13:31:01
210561800,Saint-Romain - Cherche-Midi,4,1,12,48.84708159081946,2.321374788880348,2021-05-24 13:33:14
209063434,André Karman - République,5,0,25,48.91039875761846,2.3851355910301213,2021-05-24 13:34:14
94555589,Pierre et Marie Curie - Maurice Thorez,8,1,18,48.81580226360801,2.376804985105991,2021-05-24 13:35:14
244498842,Bois de Vincennes - Gare,33,8,7,48.836022242886884,2.4708339950830287,2021-05-24 13:34:58
43195240,Silly - Galliéni,6,0,19,48.835583838705936,2.2325500845909123,2021-05-24 13:30:26
