station_id,station_name,available_mechanical_bikes,available_electric_bikes,available_empty_docks,latitude,longitude,date
213688169,Benjamin Godard - Victor Hugo,0,1,33,48.865983,2.275725,2021-05-04 09:34:55
99950133,André Mazet - Saint-André des Arts,14,1,37,48.85375581057431,2.3390958085656166,2021-05-04 09:34:56
516709288,Charonne - Robert et Sonia Delauney,0,2,16,48.85590755596891,2.3925706744194035,2021-05-04 09:33:49
36255,Toudouze - Clauzel,2,1,18,48.87929591733507,2.3373600840568547,2021-05-04 09:27:27
37815204,Mairie du 12ème,14,1,15,48.84085531176338,2.3875549435615544,2021-05-04 09:33:24
100769544,Harpe - Saint-Germain,16,14,9,48.85151881501689,2.343670316040516,2021-05-04 09:35:18
85002689,Jourdan - Stade Charléty,5,0,54,48.81942833336948,2.343335375189781,2021-05-04 09:31:32
54000559,Jouffroy d'Abbans - Wagram,2,3,35,48.881973298351625,2.301132157444954,2021-05-04 09:32:48
85043758,Guersant - Gouvion-Saint-Cyr,2,8,18,48.88287775178599,2.287667370814871,2021-05-04 09:32:46
123095125,Alibert - Jemmapes,7,1,52,48.8710440519842,2.366104461987773,2021-05-04 09:34:03
251039991,Cassini - Denfert-Rochereau,5,4,14,48.83752583906732,2.336035408079624,2021-05-04 09:29:16
37874517,Saint-Sulpice,4,5,10,48.85165383178419,2.3308077827095985,2021-05-04 09:34:13
66491398,Le Brun - Gobelins,2,0,46,48.835092787823875,2.353468135133752,2021-05-04 09:27:01
210403080,Lacépède - Monge,2,0,21,48.84389286531899,2.3519663885235786,2021-05-04 09:34:44
210561800,Saint-Romain - Cherche-Midi,4,1,11,48.84708159081946,2.321374788880348,2021-05-04 09:34:45
209063434,André Karman - République,1,3,27,48.91039875761846,2.3851355910301213,2021-05-04 09:33:04
94555589,Pierre et Marie Curie - Maurice Thorez,0,1,25,48.81580226360801,2.376804985105991,2021-05-04 09:33:58
244498842,Bois de Vincennes - Gare,14,0,34,48.836022242886884,2.4708339950830287,2021-05-04 09:33:46
43195240,Silly - Galliéni,5,0,18,48.835583838705936,2.2325500845909123,2021-05-04 09:34:59
210405211,Beaux-Arts - Bonaparte,2,4,14,48.856451985395786,2.334851883351803,2021-05-04 09:30:30
501862076,Place Nelson Mandela ,1,3,17,48.862090937689715,2.196576297283173,2021-05-04 09:30:10
207633746,Grande Armée - Brunel,7,6,48,48.876116,2.288124,2021-05-04 09:31:59
210566542,Square Boucicaut,27,11,19,48.851296433665276,2.325061820447445,2021-05-04 09:34:49
437597018,Invalides - Duroc,20,7,0,48.8477924732952,2.3161920905113225,2021-05-04 09:35:18
210565680,Vaneau - Sèvres,17,7,5,48.84856323305935,2.3204218259345537,2021-05-04 09:34:47
210397939,Thouin - Cardinal Lemoine,0,1,16,48.84504716661511,2.3494647851273465,2021-05-04 09:35:06
82405965,Froment - Bréguet,25,7,8,48.8570414504784,2.37289470306807,2021-05-04 09:34:12
213682736,Morillons - Dantzig,2,0,50,48.83310149953933,2.299380004405976,2021-05-04 09:35:09
80101533,Chazelles - Courcelles ,3,1,30,48.879406604954,2.3034455627202988,2021-05-04 09:30:54
54000581,Croulebarde - Corvisart,13,3,17,48.830981659316855,2.3481646925210953,2021-05-04 09:33:17
599135701,Ramponeau - Belleville,2,0,42,48.871031137596006,2.3790568521139748,2021-05-04 09:29:41
13105968,Le Brix et Mesmin - Jourdan,0,2,19,48.82234096593411,2.327861653302471,2021-05-04 09:33:17
653208733,Romainville - Vaillant-Couturier,0,1,37,48.86785,2.446748,2021-05-04 09:32:08
907054879,Liberté - Vert-de-Maisons,3,2,15,48.79014780960843,2.43286281824112,2021-05-04 09:27:49
129094535,Porte de Saint-Ouen - Bessières,3,8,30,48.89792240854517,2.32851451022192,2021-05-04 09:33:34
27415224,Bir Hakeim,15,7,8,48.853844054333514,2.289705348222022,2021-05-04 09:31:44
54000612,Cambrai - Benjamin Constant,3,1,39,48.89594736851349,2.381133802246315,2021-05-04 09:34:22
88230992,De Toqueville - Terrasse,2,0,28,48.882428,2.314002,2021-05-04 09:30:41
27415302,Michel-Ange - Parent de Rosan,5,1,20,48.840579923690115,2.2584119439125065,2021-05-04 09:29:54
102747146,Lagny - Victor Basch,11,4,10,48.84884147189881,2.426325418925233,2021-05-04 09:34:12
2515403527,Saint-Cloud - Hippodrome,6,2,22,48.85772148887421,2.2549109905958176,2021-05-04 09:32:32
653132534,Louis Lejeune - Barbès,7,3,13,48.81807418981508,2.3267009854316716,2021-05-04 09:34:00
506455295,Général Martial Valin - Pont du Garigliano,8,1,6,48.83823094269141,2.270506024360657,2021-05-04 09:34:44
1057149522,Rond-point du Dr Albert Schweitzer,8,2,7,48.78980918988166,2.3143940046429634,2021-05-04 09:34:39
210567545,Raspail - Varenne,12,0,5,48.85314781654488,2.3263905197381973,2021-05-04 09:35:11
128986726,Boétie - Ponthieu,11,11,9,48.871417284354834,2.307678759098053,2021-05-04 09:34:09
653197324,Théâtre des Amandiers - Palais des sports,2,3,19,48.89264852683893,2.2136941552162175,2021-05-04 09:27:07
210408693,Vaugirard - Monsieur le Prince,5,1,19,48.848951441614176,2.3411329463124275,2021-05-04 09:30:50
42950839,Serrurier,0,1,17,48.8804934032465,2.39806417375803,2021-05-04 09:33:51
85123644,Pyrénées - Ménilmontant,0,0,26,48.8693268535238,2.395084574818611,2021-05-04 09:32:11
499303158,Jules Guesde - Pont du Port à l'Anglais,15,6,8,48.79628807093802,2.417212128639221,2021-05-04 09:32:14
2515085147,Italie - Tolbiac,2,3,16,48.82557229464416,2.3576171323657036,2021-05-04 09:35:21
27414512,Caire - Dussoubs,21,6,12,48.86785342111862,2.349364310503006,2021-05-04 09:34:56
210580039,Tour d'Auvergne - Rodier,1,0,16,48.879161,2.343698,2021-05-04 09:25:45
49474389,Artois - Berri,7,0,16,48.87393521240818,2.3064258322119713,2021-05-04 09:33:51
128940135,Marceau - Chaillot,5,3,12,48.86883394989261,2.2989967837929726,2021-05-04 09:34:11
35149611,Liard - Amiral Mouchez,3,0,10,48.8214169,2.342167,2021-05-04 09:34:33
210570888,Las Cases - Bourgogne,5,3,13,48.85909110474066,2.3185685276985173,2021-05-04 09:33:59
129107656,Félix Ziem - Armand Gauthier,0,0,25,48.88949630486821,2.333393658804396,2021-05-04 09:25:57
129088667,Jonquière - Docteur Paul Brousse,5,0,35,48.894799816683985,2.318705212173216,2021-05-04 09:30:51
214114469,Gare de Nogent-le-Perreux,18,1,8,48.83842553348809,2.493693307042122,2021-05-04 09:35:02
1057228658,Youri Gagarine - Karl Marx,1,1,20,48.78448485079149,2.35908430069685,2021-05-04 09:35:15
230873471,Octave Feuillet - Albéric Magnard,2,4,15,48.86106902949534,2.2730283066630363,2021-05-04 09:34:24
507934805,Ney - Porte de Clignancourt ,2,2,20,48.8978867,2.3458001,2021-05-04 09:32:22
205047993,Edgar Quinet - Raspail,1,2,43,48.83940266673835,2.32971478253603,2021-05-04 09:34:45
