station_id,station_name,available_mechanical_bikes,available_electric_bikes,available_empty_docks,latitude,longitude,date
213688169,Benjamin Godard - Victor Hugo,1,2,27,48.865983,2.275725,2021-05-01 23:25:57
99950133,André Mazet - Saint-André des Arts,24,0,26,48.85375581057431,2.3390958085656166,2021-05-01 23:26:32
516709288,Charonne - Robert et Sonia Delauney,1,0,19,48.85590755596891,2.3925706744194035,2021-05-01 23:25:17
36255,Toudouze - Clauzel,4,3,14,48.87929591733507,2.3373600840568547,2021-05-01 23:22:49
37815204,Mairie du 12ème,21,6,3,48.84085531176338,2.3875549435615544,2021-05-01 23:28:04
100769544,Harpe - Saint-Germain,7,10,27,48.85151881501689,2.343670316040516,2021-05-01 23:27:54
85002689,Jourdan - Stade Charléty,2,6,51,48.81942833336948,2.343335375189781,2021-05-01 23:27:13
54000559,Jouffroy d'Abbans - Wagram,7,2,31,48.881973298351625,2.301132157444954,2021-05-01 23:24:58
85043758,Guersant - Gouvion-Saint-Cyr,11,3,9,48.88287775178599,2.287667370814871,2021-05-01 23:26:34
123095125,Alibert - Jemmapes,50,4,5,48.8710440519842,2.366104461987773,2021-05-01 23:25:18
251039991,Cassini - Denfert-Rochereau,1,1,22,48.83752583906732,2.336035408079624,2021-05-01 23:22:35
37874517,Saint-Sulpice,9,5,6,48.85165383178419,2.3308077827095985,2021-05-01 23:26:25
66491398,Le Brun - Gobelins,12,1,33,48.835092787823875,2.353468135133752,2021-05-01 23:28:16
210403080,Lacépède - Monge,2,4,13,48.84389286531899,2.3519663885235786,2021-05-01 23:25:32
210561800,Saint-Romain - Cherche-Midi,2,0,15,48.84708159081946,2.321374788880348,2021-05-01 23:21:39
209063434,André Karman - République,4,3,24,48.91039875761846,2.3851355910301213,2021-05-01 23:28:14
94555589,Pierre et Marie Curie - Maurice Thorez,8,9,7,48.81580226360801,2.376804985105991,2021-05-01 23:28:11
244498842,Bois de Vincennes - Gare,9,4,31,48.836022242886884,2.4708339950830287,2021-05-01 23:25:30
43195240,Silly - Galliéni,7,2,15,48.835583838705936,2.2325500845909123,2021-05-01 23:25:33
210405211,Beaux-Arts - Bonaparte,5,3,13,48.856451985395786,2.334851883351803,2021-05-01 23:18:38
501862076,Place Nelson Mandela ,0,1,18,48.862090937689715,2.196576297283173,2021-05-01 23:23:30
207633746,Grande Armée - Brunel,8,7,41,48.876116,2.288124,2021-05-01 23:27:39
210566542,Square Boucicaut,24,0,36,48.851296433665276,2.325061820447445,2021-05-01 23:26:09
437597018,Invalides - Duroc,6,6,15,48.8477924732952,2.3161920905113225,2021-05-01 23:25:16
210565680,Vaneau - Sèvres,6,5,24,48.84856323305935,2.3204218259345537,2021-05-01 23:25:12
210397939,Thouin - Cardinal Lemoine,4,9,3,48.84504716661511,2.3494647851273465,2021-05-01 23:27:00
82405965,Froment - Bréguet,27,7,3,48.8570414504784,2.37289470306807,2021-05-01 23:26:11
213682736,Morillons - Dantzig,2,2,48,48.83310149953933,2.299380004405976,2021-05-01 23:26:42
80101533,Chazelles - Courcelles ,6,1,25,48.879406604954,2.3034455627202988,2021-05-01 23:27:39
54000581,Croulebarde - Corvisart,18,1,14,48.830981659316855,2.3481646925210953,2021-05-01 23:25:17
599135701,Ramponeau - Belleville,7,7,30,48.871031137596006,2.3790568521139748,2021-05-01 23:26:56
13105968,Le Brix et Mesmin - Jourdan,0,2,18,48.82234096593411,2.327861653302471,2021-05-01 23:20:59
653208733,Romainville - Vaillant-Couturier,3,7,26,48.86785,2.446748,2021-05-01 23:24:55
907054879,Liberté - Vert-de-Maisons,7,11,2,48.79014780960843,2.43286281824112,2021-05-01 23:23:23
