station_id,station_name,available_mechanical_bikes,available_electric_bikes,available_empty_docks,latitude,longitude,date
213688169,Benjamin Godard - Victor Hugo,0,1,33,48.865983,2.275725,2021-05-08 11:47:08
99950133,André Mazet - Saint-André des Arts,7,3,42,48.85375581057431,2.3390958085656166,2021-05-08 11:47:02
516709288,Charonne - Robert et Sonia Delauney,0,2,17,48.85590755596891,2.3925706744194035,2021-05-08 11:47:21
36255,Toudouze - Clauzel,1,3,17,48.87929591733507,2.3373600840568547,2021-05-08 11:46:54
37815204,Mairie du 12ème,19,2,9,48.84085531176338,2.3875549435615544,2021-05-08 11:47:11
100769544,Harpe - Saint-Germain,12,2,31,48.85151881501689,2.343670316040516,2021-05-08 11:44:16
85002689,Jourdan - Stade Charléty,16,2,40,48.81942833336948,2.343335375189781,2021-05-08 11:47:38
54000559,Jouffroy d'Abbans - Wagram,4,1,35,48.881973298351625,2.301132157444954,2021-05-08 11:46:52
85043758,Guersant - Gouvion-Saint-Cyr,14,10,4,48.88287775178599,2.287667370814871,2021-05-08 11:46:06
123095125,Alibert - Jemmapes,13,4,43,48.8710440519842,2.366104461987773,2021-05-08 11:46:44
251039991,Cassini - Denfert-Rochereau,3,0,21,48.83752583906732,2.336035408079624,2021-05-08 11:42:45
37874517,Saint-Sulpice,2,2,17,48.85165383178419,2.3308077827095985,2021-05-08 11:47:16
66491398,Le Brun - Gobelins,7,3,37,48.835092787823875,2.353468135133752,2021-05-08 11:46:00
210403080,Lacépède - Monge,9,2,12,48.84389286531899,2.3519663885235786,2021-05-08 11:46:11
210561800,Saint-Romain - Cherche-Midi,11,3,3,48.84708159081946,2.321374788880348,2021-05-08 11:42:20
209063434,André Karman - République,2,1,29,48.91039875761846,2.3851355910301213,2021-05-08 11:47:44
94555589,Pierre et Marie Curie - Maurice Thorez,6,0,19,48.81580226360801,2.376804985105991,2021-05-08 11:42:07
244498842,Bois de Vincennes - Gare,16,4,26,48.836022242886884,2.4708339950830287,2021-05-08 11:45:43
43195240,Silly - Galliéni,4,0,19,48.835583838705936,2.2325500845909123,2021-05-08 11:46:14
210405211,Beaux-Arts - Bonaparte,4,2,15,48.856451985395786,2.334851883351803,2021-05-08 11:42:35
501862076,Place Nelson Mandela ,1,1,19,48.862090937689715,2.196576297283173,2021-05-08 11:47:46
207633746,Grande Armée - Brunel,2,4,55,48.876116,2.288124,2021-05-08 11:46:47
210566542,Square Boucicaut,8,3,49,48.851296433665276,2.325061820447445,2021-05-08 11:45:29
437597018,Invalides - Duroc,15,4,11,48.8477924732952,2.3161920905113225,2021-05-08 11:43:14
210565680,Vaneau - Sèvres,6,5,24,48.84856323305935,2.3204218259345537,2021-05-08 11:41:36
210397939,Thouin - Cardinal Lemoine,0,1,16,48.84504716661511,2.3494647851273465,2021-05-08 11:44:50
82405965,Froment - Bréguet,6,1,34,48.8570414504784,2.37289470306807,2021-05-08 11:47:41
213682736,Morillons - Dantzig,3,0,50,48.83310149953933,2.299380004405976,2021-05-08 11:41:51
80101533,Chazelles - Courcelles ,1,2,31,48.879406604954,2.3034455627202988,2021-05-08 11:42:01
54000581,Croulebarde - Corvisart,13,3,14,48.830981659316855,2.3481646925210953,2021-05-08 11:46:20
599135701,Ramponeau - Belleville,8,2,32,48.871031137596006,2.3790568521139748,2021-05-08 11:47:20
13105968,Le Brix et Mesmin - Jourdan,11,1,6,48.82234096593411,2.327861653302471,2021-05-08 11:47:26
653208733,Romainville - Vaillant-Couturier,0,2,33,48.86785,2.446748,2021-05-08 11:44:09
128986726,Boétie - Ponthieu,0,1,32,48.871417284354834,2.307678759098053,2021-05-08 11:41:33
907054879,Liberté - Vert-de-Maisons,11,8,1,48.79014780960843,2.43286281824112,2021-05-08 11:44:54
129094535,Porte de Saint-Ouen - Bessières,4,14,22,48.89792240854517,2.32851451022192,2021-05-08 11:47:12
27415224,Bir Hakeim,24,3,4,48.853844054333514,2.289705348222022,2021-05-08 11:47:45
54000612,Cambrai - Benjamin Constant,0,1,41,48.89594736851349,2.381133802246315,2021-05-08 11:47:33
88230992,De Toqueville - Terrasse,3,2,25,48.882428,2.314002,2021-05-08 11:47:30
27415302,Michel-Ange - Parent de Rosan,3,0,22,48.840579923690115,2.2584119439125065,2021-05-08 11:42:41
102747146,Lagny - Victor Basch,3,3,19,48.84884147189881,2.426325418925233,2021-05-08 11:47:42
2515403527,Saint-Cloud - Hippodrome,5,2,22,48.85772148887421,2.2549109905958176,2021-05-08 11:47:46
653132534,Louis Lejeune - Barbès,0,4,19,48.81807418981508,2.3267009854316716,2021-05-08 11:43:43
506455295,Général Martial Valin - Pont du Garigliano,2,3,11,48.83823094269141,2.270506024360657,2021-05-08 11:47:33
1057149522,Rond-point du Dr Albert Schweitzer,2,1,13,48.78980918988166,2.3143940046429634,2021-05-08 11:38:47
210567545,Raspail - Varenne,3,2,13,48.85314781654488,2.3263905197381973,2021-05-08 11:46:26
653197324,Théâtre des Amandiers - Palais des sports,2,2,18,48.89264852683893,2.2136941552162175,2021-05-08 11:47:17
210408693,Vaugirard - Monsieur le Prince,0,1,25,48.848951441614176,2.3411329463124275,2021-05-08 11:47:46
42950839,Serrurier,0,3,13,48.8804934032465,2.39806417375803,2021-05-08 11:40:49
85123644,Pyrénées - Ménilmontant,3,2,19,48.8693268535238,2.395084574818611,2021-05-08 11:42:57
499303158,Jules Guesde - Pont du Port à l'Anglais,21,7,1,48.79628807093802,2.417212128639221,2021-05-08 11:47:40
2515085147,Italie - Tolbiac,5,13,2,48.82557229464416,2.3576171323657036,2021-05-08 11:44:30
27414512,Caire - Dussoubs,6,0,34,48.86785342111862,2.349364310503006,2021-05-08 11:47:30
210580039,Tour d'Auvergne - Rodier,0,0,15,48.879161,2.343698,2021-05-08 11:38:44
49474389,Artois - Berri,0,1,22,48.87393521240818,2.3064258322119713,2021-05-08 11:45:02
35149611,Liard - Amiral Mouchez,0,0,12,48.8214169,2.342167,2021-05-08 11:43:28
210570888,Las Cases - Bourgogne,7,1,13,48.85909110474066,2.3185685276985173,2021-05-08 11:47:45
129107656,Félix Ziem - Armand Gauthier,1,0,24,48.88949630486821,2.333393658804396,2021-05-08 11:46:09
129088667,Jonquière - Docteur Paul Brousse,7,0,31,48.894799816683985,2.318705212173216,2021-05-08 11:46:52
214114469,Gare de Nogent-le-Perreux,18,3,7,48.83842553348809,2.493693307042122,2021-05-08 11:47:16
1057228658,Youri Gagarine - Karl Marx,0,1,21,48.78448485079149,2.35908430069685,2021-05-08 11:37:47
230873471,Octave Feuillet - Albéric Magnard,1,2,18,48.86106902949534,2.2730283066630363,2021-05-08 11:44:40
507934805,Ney - Porte de Clignancourt ,0,3,21,48.8978867,2.3458001,2021-05-08 11:41:28
205047993,Edgar Quinet - Raspail,11,2,31,48.83940266673835,2.32971478253603,2021-05-08 11:45:22
7254,Gay Lussac - Saint-Jacques,0,2,22,48.844730256132095,2.341923944866407,2021-05-08 11:47:06
129164969,Place Jean-Spire-Lemaître,9,2,35,48.8468428626593,2.452062070369721,2021-05-08 11:47:06
128989986,Place Georges Guillaumin,1,4,23,48.874750203956566,2.301771435325988,2021-05-08 11:46:52
129004826,Bellefond - Poissonnière,4,0,13,48.87759897050706,2.348463758826256,2021-05-08 11:47:39
518825709,Jean Oestreicher - Porte de Champerret,2,1,17,48.88655580065981,2.288640439510346,2021-05-08 11:47:35
128930462,Square Louis XVI,0,1,28,48.87320440102894,2.323658830743138,2021-05-08 11:39:36
911767210,Alexandre Parodi - Quai de Valmy,0,1,23,48.87935941942529,2.366596162319184,2021-05-08 11:47:27
54000565,Granges aux Belles,0,2,24,48.8761373390584,2.3680844979417,2021-05-08 11:44:28
128940135,Marceau - Chaillot,0,0,21,48.86883394989261,2.2989967837929726,2021-05-08 11:39:13
1057296253,Regnault - Patay,45,5,10,48.82435782216384,2.377065159380436,2021-05-08 11:47:11
210581084,Gare Saint-Lazare - Place de Budapest,7,6,29,48.877753,2.327339,2021-05-08 11:42:03
102311820,Clignancourt - Ordener,3,1,31,48.891457726153774,2.348636478060487,2021-05-08 11:45:57
210586093,Dunkerque - Rocroy,10,3,9,48.880726,2.351464,2021-05-08 11:44:48
128887067,Ségur - d'Estrées,2,0,16,48.85141997898257,2.3097044974565506,2021-05-08 11:46:58
210574471,Abbeville - Faubourg Poissonnière,1,2,11,48.879223,2.349147,2021-05-08 11:41:34
72765603,Boulangers - Cardinal Lemoine,0,0,20,48.8462904,2.3521495,2021-05-08 11:45:36
210582921,Boudreau - Auber,4,0,9,48.87219,2.329423,2021-05-08 11:41:03
55927887,Gabriel Lamé,27,6,1,48.8351212784276,2.385534569621086,2021-05-08 11:42:58
369644630,Gare de l'Est - Faubourg-Saint-Martin,7,1,24,48.87564264747718,2.3594588041305546,2021-05-08 11:46:14
43255030,Pereire - Ternes,2,0,45,48.87973954830735,2.288012132048607,2021-05-08 11:44:10
129025451,Douai - Bruxelles,3,2,21,48.88320784122797,2.3308449949028507,2021-05-08 11:43:19
128920403,Gare Saint-Lazare - Isly,8,3,15,48.874777677621296,2.326515804784655,2021-05-08 11:47:37
323616530,Quai de l'Horloge - Pont Neuf,5,3,9,48.857058739111096,2.341798283943937,2021-05-08 11:47:07
208795867,Ambroise Rendu - Porte Brunet,0,1,15,48.883667,2.395733,2021-05-08 11:47:10
1062192012,Gare Rosny-Bois-Perrier,6,1,28,48.88115023337061,2.480436824262142,2021-05-08 11:47:19
6296,Institut de France,0,1,16,48.85761567856468,2.335831353037739,2021-05-08 11:47:43
521393180,Porte Pouchet-Bessières,3,2,17,48.8978765,2.3230632,2021-05-08 11:39:33
576188379,Vigée-Lebrun - Anselme Payen,4,3,17,48.838683941628375,2.3110422492027287,2021-05-08 11:42:12
128915891,Octave Gréard - Tour Eiffel,24,6,3,48.856502977695634,2.293178754328878,2021-05-08 11:45:21
82567101,Château - République,2,4,18,48.8629238005955,2.415503561496735,2021-05-08 11:46:00
129021753,Moncey - Blanche,0,1,15,48.88006587474148,2.3310810327529907,2021-05-08 11:45:53
